scenarioId,runId,nodeCount,distribution,flowId,srcAs,dstAs,meanDelayMs,throughputMbps,packetLossPct,convergenceSec,simTimeSec
100_balanced,1,100,balanced,1,1,2,25.725,5.09125,0,3.41993,60
100_balanced,1,100,balanced,2,1,3,34.4846,5.09047,0,3.41993,60
100_balanced,1,100,balanced,3,1,2,23.6048,5.09144,0,3.41993,60
100_balanced,1,100,balanced,4,1,2,13.4967,5.09234,0,3.41993,60
100_balanced,1,100,balanced,5,1,3,20.3752,5.09153,0.00842141,3.41993,60
100_balanced,1,100,balanced,6,2,1,21.4846,5.09163,0,3.41993,60
100_balanced,1,100,balanced,7,2,3,13.5014,5.09234,0,3.41993,60
100_balanced,1,100,balanced,8,2,3,13.5263,5.09234,0,3.41993,60
100_balanced,1,100,balanced,9,2,3,11.4353,5.09252,0,3.41993,60
100_balanced,1,100,balanced,10,2,1,23.6048,5.09144,0,3.41993,60
100_balanced,1,100,balanced,11,3,2,27.8451,5.09106,0,3.41993,60
100_balanced,1,100,balanced,12,3,1,42.9653,5.08971,0,3.41993,60
100_balanced,1,100,balanced,13,3,1,16.1812,2.71707,0.0157803,3.41993,60
100_balanced,1,100,balanced,14,3,2,29.9653,5.09087,0,3.41993,60
100_balanced,1,100,balanced,15,3,1,38.8451,5.08636,0,3.41993,60
